date,holiday
15-Jun,Raja Sankranti
06-Jul,Ratha Yatra
07-Jul,Ramzan
15-Aug,Independence Day
24-Aug,Sreekrishna Jayanthi
05-Sep,Ganesh Chaturthi
06-Sep,Nuakhai
13-Sep,Bakrid
30-Sep,Mahalaya
08-Oct,Maha Saptami
09-Oct,Durgastami
10-Oct,Mahanavami
11-Oct,Vijaya Dashami
12-Oct,Muharram (10th Day)
12-Oct,Durga Puja
15-Oct,Lakshmi Puja
29-Oct,Kali Puja
30-Oct,Deewali
14-Nov,Rasa Purnima
12-Dec,Id-e-Milad
25-Dec,Christmas Day
_Punjab,
DATE,HOLIDAY
16-Jan,Guru Gobind Singh Jayanti
26-Jan,Republic Day
28-Jan,Birthday of Lala Lajpat Rai
12-Feb,Vasant Panchami
22-Feb,Guru Ravidas Birthday
07-Mar,Maha Shivratri
23-Mar,Shahidi Divas S. Bhagat Singh Ji
24-Mar,Holi
25-Mar,Good Friday
13-Apr,Vaisakhi
14-Apr,Dr Ambedkar Jayanti
15-Apr,Ram Navami
19-Apr,Mahavir Jayanti
01-May,May Day
09-May,Parashurama Jayanti
08-Jun,Guru Arjun Dev Martyrdom day
20-Jun,Sant Guru Kabir Jayanti
07-Jul,Ramzan
31-Jul,Martyrdom Day of Shaheed Udham Singh
15-Aug,Independence Day
25-Aug,Janmashtami
02-Sep,Parkash Utsav Sri Guru Granth Sahib Ji
10-Sep,Birthday of Baba Sri Chand Ji
28-Sep,Birthday of S. Bhagat Singh Ji
28-Sep,Birthday of S. Bhagat Singh Ji
01-Oct,Maharaja Agrasen Jayanati
02-Oct,Mahatma Gandhi Birthday
11-Oct,Dussehra
16-Oct,Maharishi Valmiki Birthday
17-Oct,Parkash Gurpurab of Sri Guru Ram Dass Ji
30-Oct,Deewali
31-Oct,Vishvakarma Day
14-Nov,Guru Nanak Birthday
04-Dec,Martyrdom Day of Sri Guru Teg Bahadur Ji
25-Dec,Christmas Day
_Rajasthan,
DATE,HOLIDAY
16-Jan,Guru Gobind Singh Jayanti
26-Jan,Republic Day
07-Mar,Maha Shivratri
23-Mar,Shahidi Divas S. Bhagat Singh Ji
24-Mar,Holi
25-Mar,Good Friday
14-Apr,Dr Ambedkar Jayanti
15-Apr,Ram Navami
19-Apr,Mahavir Jayanti
06-Jul,Idul Fitr
15-Aug,Independence Day
18-Aug,Raksha Bandhan
25-Aug,Janmashtami
12-Sep,Idul Juha
01-Oct,Maharaja Agrasen Jayanati
02-Oct,Mahatma Gandhi Birthday
11-Oct,Dussehra
12-Oct,Muharram (10th Day)
30-Oct,Deewali
31-Oct,Vishvakarma Day
14-Nov,Guru Nanak Birthday
13-Dec,Id-e-Milad
25-Dec,Christmas Day
_Sikkim,
DATE,HOLIDAY
01-Jan,New Years Day
14-Jan,Pongal
26-Jan,Republic Day
09-Feb,Losar
09-Feb,Sonam Lhochar
23-Mar,Doljatra
25-Mar,Good Friday
14-Apr,Dr Ambedkar Jayanti
15-Apr,Ram Navami
16-May,State Day
06-Jul,Idul Fitr
15-Aug,Independence Day
25-Aug,Janmashtami
02-Oct,Mahatma Gandhi Birthday
11-Oct,Vijaya Dashami
12-Oct,Durga Puja
30-Oct,Deewali
25-Dec,Christmas Day
_Telangana,
DATE,HOLIDAY
01-Jan,New Years Day
14-Jan,Bhogi
15-Jan,Sankranti
26-Jan,Republic Day
02-Feb,Public Holiday
07-Mar,Maha Shivratri
23-Mar,Doljatra
25-Mar,Good Friday
05-Apr,Babu Jagjivan Ram Birthday
08-Apr,Ugadi
14-Apr,Dr Ambedkar Jayanti
15-Apr,Ram Navami
07-Jul,Ramzan
08-Jul,Ramzan
01-Aug,Bonalu
15-Aug,Independence Day
25-Aug,Janmashtami
05-Sep,Ganesh Chaturthi
13-Sep,Bakrid
02-Oct,Mahatma Gandhi Birthday
09-Oct,Durgastami
11-Oct,Dussehra
11-Oct,Vijaya Dashami
30-Oct,Deewali
14-Nov,Guru Nanak Birthday
12-Dec,Id-e-Milad
25-Dec,Christmas Day
26-Dec,Boxing Day
_Tripura,
DATE,HOLIDAY
23-Jan,Netaji Subhas Chandra Bose Jayanti
26-Jan,Republic Day
12-Feb,Vasant Panchami
07-Mar,Maha Shivratri
24-Mar,Holi
25-Mar,Good Friday
13-Apr,Biju Festival
14-Apr,Bengali New Year
20-Apr,Garia Puja
01-May,May Day
08-May,Birthday of Rabindra Nath Tagore
21-May,Buddha Purnima
25-May,Birthday of Kazi Nazrul Islam
06-Jul,Idul Fitr
12-Jul,Kharchi Puja
26-Jul,Ker Puja
15-Aug,Independence Day
25-Aug,Janmashtami
12-Sep,Idul Juha
30-Sep,Mahalaya
02-Oct,Mahatma Gandhi Birthday
10-Oct,Navami of Durga Puja
11-Oct,Vijaya Dashami
13-Oct,Durga Puja Holiday
14-Oct,Durga Puja Holiday
15-Oct,Lakshmi Puja
29-Oct,Deepavali
03-Dec,World Disabled Day
13-Dec,Id-e-Milad
25-Dec,Christmas Day
_Uttar Pradesh,
DATE,HOLIDAY
26-Jan,Republic Day
13-Feb,Maha Shivratri
01-Mar,Doljatra
02-Mar,Holi
18-Mar,Ugadi
25-Mar,Ram Navami
29-Mar,Mahavir Jayanti
30-Mar,Good Friday
30-Mar,Hazrat Alis Birthday
