date,holiday
19-Feb,Guru Ravidas Birthday
04-Mar,Maha Shivratri
21-Mar,Holi
14-Apr,Dr Ambedkar Jayanti
14-Apr,Ram Navami
15-Apr,Himachal Day
19-Apr,Good Friday
07-May,Parashurama Jayanti
19-May,Buddha Purnima
24-May,Maharana Pratap Jayanti
05-Jun,Idul Fitr
17-Jun,Sant Guru Kabir Jayanti
12-Aug,Idul Juha
15-Aug,Independence Day
24-Aug,Janmashtami
10-Sep,Muharram (10th Day)
02-Oct,Mahatma Gandhi Birthday
08-Oct,Dussehra
13-Oct,Maharishi Valmiki Birthday
27-Oct,Deewali
12-Nov,Guru Nanak Birthday
25-Dec,Christmas Day
_Jammu and Kashmir,
DATE,HOLIDAY
26-Jan,Republic Day
04-Mar,Maha Shivratri
21-Mar,Holi
14-Apr,Dr Ambedkar Jayanti
17-Apr,Mahavir Jayanti
19-May,Buddha Purnima
31-May,Jumat-ul-Wida
05-Jun,Idul Fitr
12-Aug,Idul Juha
15-Aug,Independence Day
24-Aug,Janmashtami
10-Sep,Muharram (10th Day)
02-Oct,Mahatma Gandhi Birthday
08-Oct,Dussehra
27-Oct,Deewali
12-Nov,Guru Nanak Birthday
25-Dec,Christmas Day
_Jharkhand ,
DATE,HOLIDAY
26-Jan,Republic Day
04-Mar,Maha Shivratri
21-Mar,Holi
17-Apr,Mahavir Jayanti
19-Apr,Good Friday
01-May,May Day
12-Aug,Idul Juha
15-Aug,Independence Day
24-Aug,Janmashtami
10-Sep,Muharram (10th Day)
02-Oct,Mahatma Gandhi Birthday
08-Oct,Dussehra
27-Oct,Deewali
12-Nov,Guru Nanak Birthday
25-Dec,Christmas Day
_Karnataka,
DATE,HOLIDAY
14-Jan,Sankranti
26-Jan,Republic Day
04-Mar,Maha Shivratri
06-Apr,Ugadi
14-Apr,Dr Ambedkar Jayanti
16-Apr,Basava Jayanthi
17-Apr,Mahavir Jayanti
19-Apr,Good Friday
01-May,May Day
05-Jun,Idul Fitr
12-Aug,Idul Juha
15-Aug,Independence Day
02-Sep,Ganesh Chaturthi
10-Sep,Muharram (10th Day)
29-Sep,Mahalaya
02-Oct,Mahatma Gandhi Birthday
07-Oct,Ayudha Puja
08-Oct,Dussehra
13-Oct,Maharishi Valmiki Birthday
27-Oct,Deepavali
01-Nov,Kannada Rajyothsava
10-Nov,Id-e-Milad
26-Nov,Narak Chaturdashi
25-Dec,Christmas Day
_Kerala,
DATE,HOLIDAY
26-Jan,Republic Day
04-Mar,Maha Shivratri
14-Apr,Dr Ambedkar Jayanti
15-Apr,Vishu
18-Apr,Maundy Thursday
19-Apr,Good Friday
01-May,May Day
05-Jun,Idul Fitr
31-Jul,Karkkadaka Vavu
12-Aug,Idul Juha
15-Aug,Independence Day
24-Aug,Sreekrishna Jayanthi
10-Sep,First Onam
10-Sep,Muharram (10th Day)
11-Sep,Thiruvonam
12-Sep,Third Onam
13-Sep,Fourth Onam
20-Sep,Sree Narayana Guru Samadhi
02-Oct,Mahatma Gandhi Birthday
06-Oct,Mahanavami
08-Oct,Dussehra
27-Oct,Deepavali
10-Nov,Id-e-Milad
12-Nov,Guru Nanak Birthday
25-Dec,Christmas Day
_Madhya Pradesh,
DATE,HOLIDAY
26-Jan,Republic Day
04-Mar,Maha Shivratri
21-Mar,Doljatra
14-Apr,Ram Navami
17-Apr,Mahavir Jayanti
19-May,Buddha Purnima
05-Jun,Idul Fitr
12-Aug,Idul Juha
15-Aug,Independence Day
24-Aug,Janmashtami
10-Sep,Muharram (10th Day)
14-Sep,Raksha Bandhan
02-Oct,Mahatma Gandhi Birthday
08-Oct,Dussehra
27-Oct,Deewali
10-Nov,Id-e-Milad
12-Nov,Guru Nanak Birthday
_Maharashtra,
DATE,HOLIDAY
26-Jan,Republic Day
19-Feb,Chhatrapati Shivaji Maharaj Jayanti
04-Mar,Maha Shivratri
21-Mar,Holi
06-Apr,Ugadi
14-Apr,Dr Ambedkar Jayanti
14-Apr,Ram Navami
17-Apr,Mahavir Jayanti
19-Apr,Good Friday
01-May,Maharashtra Day
19-May,Buddha Purnima
05-Jun,Idul Fitr
12-Aug,Idul Juha
15-Aug,Independence Day
17-Aug,Parsi New Year
02-Sep,Ganesh Chaturthi
10-Sep,Muharram (10th Day)
02-Oct,Mahatma Gandhi Birthday
08-Oct,Dussehra
27-Oct,Deepavali
27-Oct,Deewali
10-Nov,Id-e-Milad
12-Nov,Guru Nanak Birthday
25-Dec,Christmas Day
_Manipur,
DATE,HOLIDAY
01-Jan,New Year's Day
26-Jan,Republic Day
21-Mar,Holi
17-Apr,Mahavir Jayanti
19-Apr,Good Friday
01-May,May Day
05-Jun,Idul Fitr
12-Aug,Idul Juha
15-Aug,Independence Day
02-Oct,Mahatma Gandhi Birthday
08-Oct,Dussehra
27-Oct,Deewali
12-Nov,Guru Nanak Birthday
25-Dec,Christmas Day
_Meghalaya,
DATE,HOLIDAY
01-Jan,New Year's Day
26-Jan,Republic Day
21-Mar,Holi
17-Apr,Mahavir Jayanti
19-Apr,Good Friday
05-Jun,Idul Fitr
12-Aug,Idul Juha
15-Aug,Independence Day
02-Oct,Mahatma Gandhi Birthday
08-Oct,Dussehra
27-Oct,Deewali
12-Nov,Guru Nanak Birthday
25-Dec,Christmas Day
_Mizoram,
DATE,HOLIDAY
01-Jan,New Year's Day
26-Jan,Republic Day
19-Apr,Good Friday
05-Jun,Idul Fitr
12-Aug,Idul Juha
15-Aug,Independence Day
02-Oct,Mahatma Gandhi Birthday
08-Oct,Dussehra
27-Oct,Deewali
10-Nov,Id-e-Milad
25-Dec,Christmas Day
_Nagaland,
DATE,HOLIDAY
01-Jan,New Year's Day
26-Jan,Republic Day
21-Mar,Holi
17-Apr,Mahavir Jayanti
19-Apr,Good Friday
05-Jun,Idul Fitr
12-Aug,Idul Juha
15-Aug,Independence Day
24-Aug,Janmashtami
02-Oct,Mahatma Gandhi Birthday
08-Oct,Dussehra
27-Oct,Deewali
12-Nov,Guru Nanak Birthday
25-Dec,Christmas Day
_Odisha,
DATE,HOLIDAY
23-Jan,Netaji Subhas Chandra Bose Jayanti
26-Jan,Republic Day
10-Feb,Vasant Panchami
04-Mar,Maha Shivratri
21-Mar,Doljatra
21-Mar,Holi
01-Apr,Odisha Day
14-Apr,Dr Ambedkar Jayanti
14-Apr,Maha Vishuba Sankranti
14-Apr,Ram Navami
19-Apr,Good Friday
05-Jun,Idul Fitr
14-Jun,Pahili Raja
15-Jun,Raja Sankranti
04-Jul,Ratha Yatra
12-Aug,Idul Juha
15-Aug,Independence Day
24-Aug,Sreekrishna Jayanthi
02-Sep,Ganesh Chaturthi
03-Sep,Nuakhai
10-Sep,Muharram (10th Day)
29-Sep,Mahalaya
02-Oct,Mahatma Gandhi Birthday
05-Oct,Maha Saptami
06-Oct,Durgastami
06-Oct,Mahanavami
08-Oct,Durga Puja
08-Oct,Dussehra
27-Oct,Deewali
27-Oct,Kali Puja
29-Oct,Lakshmi Puja
10-Nov,Id-e-Milad
12-Nov,Rasa Purnima
25-Dec,Christmas Day
_Punjab,
DATE,HOLIDAY
26-Jan,Republic Day
10-Feb,Vasant Panchami
19-Feb,Guru Ravidas Birthday
04-Mar,Maha Shivratri
21-Mar,Holi
23-Mar,Shahidi Divas S. Bhagat Singh Ji
14-Apr,Dr Ambedkar Jayanti
14-Apr,Vaisakhi
14-Apr,Ram Navami
17-Apr,Mahavir Jayanti
19-Apr,Good Friday
01-May,May Day
07-May,Parashurama Jayanti
24-May,Guru Arjun Dev Martyrdom day
05-Jun,Idul Fitr
17-Jun,Sant Guru Kabir Jayanti
31-Jul,Martyrdom Day of Shaheed Udham Singh
12-Aug,Idul Juha
15-Aug,Independence Day
24-Aug,Janmashtami
31-Aug,Parkash Utsav Sri Guru Granth Sahib Ji
07-Sep,Birthday of Baba Sri Chand Ji
12-Sep,Saragarhi Day
28-Sep,Birthday of S. Bhagat Singh Ji
29-Sep,Maharaja Agrasen Jayanati
02-Oct,Mahatma Gandhi Birthday
08-Oct,Dussehra
13-Oct,Maharishi Valmiki Birthday
27-Oct,Deewali
28-Oct,Vishvakarma Day
12-Nov,Guru Nanak Birthday
24-Nov,Martyrdom Day of Sri Guru Teg Bahadur Ji
25-Dec,Christmas Day
_Rajasthan,
DATE,HOLIDAY
26-Jan,Republic Day
04-Mar,Maha Shivratri
21-Mar,Holi
23-Mar,Shahidi Divas S. Bhagat Singh Ji
14-Apr,Dr Ambedkar Jayanti
14-Apr,Ram Navami
17-Apr,Mahavir Jayanti
19-Apr,Good Friday
05-Jun,Idul Fitr
12-Aug,Idul Juha
15-Aug,Independence Day
24-Aug,Janmashtami
10-Sep,Muharram (10th Day)
14-Sep,Raksha Bandhan
29-Sep,Maharaja Agrasen Jayanati
02-Oct,Mahatma Gandhi Birthday
08-Oct,Dussehra
27-Oct,Deewali
28-Oct,Vishvakarma Day
10-Nov,Id-e-Milad
12-Nov,Guru Nanak Birthday
25-Dec,Christmas Day
_Sikkim,
DATE,HOLIDAY
01-Jan,New Year's Day
14-Jan,Pongal
26-Jan,Republic Day
05-Feb,Losar
05-Feb,Sonam Lhochar
21-Mar,Doljatra
14-Apr,Dr Ambedkar Jayanti
14-Apr,Ram Navami
19-Apr,Good Friday
16-May,State Day
05-Jun,Idul Fitr
15-Aug,Independence Day
24-Aug,Janmashtami
02-Oct,Mahatma Gandhi Birthday
08-Oct,Durga Puja
08-Oct,Dussehra
27-Oct,Deewali
25-Dec,Christmas Day
_Telangana,
DATE,HOLIDAY
01-Jan,New Year's Day
14-Jan,Bhogi
14-Jan,Sankranti
26-Jan,Republic Day
04-Mar,Maha Shivratri
21-Mar,Doljatra
05-Apr,Babu Jagjivan Ram Birthday
06-Apr,Ugadi
14-Apr,Dr Ambedkar Jayanti
14-Apr,Ram Navami
19-Apr,Good Friday
05-Jun,Idul Fitr
12-Aug,Idul Juha
15-Aug,Independence Day
24-Aug,Janmashtami
02-Sep,Ganesh Chaturthi
10-Sep,Muharram (10th Day)
02-Oct,Mahatma Gandhi Birthday
06-Oct,Durgastami
08-Oct,Dussehra
10-Nov,Id-e-Milad
12-Nov,Guru Nanak Birthday
25-Dec,Christmas Day
26-Dec,Boxing Day
_Tripura,
DATE,HOLIDAY
23-Jan,Netaji Subhas Chandra Bose Jayanti
26-Jan,Republic Day
10-Feb,Vasant Panchami
04-Mar,Maha Shivratri
21-Mar,Holi
13-Apr,Biju Festival
14-Apr,Bengali New Year
19-Apr,Good Friday
21-Apr,Garia Puja
01-May,May Day
07-May,Birthday of Rabindra Nath Tagore
19-May,Buddha Purnima
24-May,Birthday of Kazi Nazrul Islam
05-Jun,Idul Fitr
23-Jun,Kharchi Puja
07-Jul,Ker Puja
12-Aug,Idul Juha
15-Aug,Independence Day
24-Aug,Janmashtami
10-Sep,Muharram (10th Day)
29-Sep,Mahalaya
02-Oct,Mahatma Gandhi Birthday
06-Oct,Navami of Durga Puja
08-Oct,Dussehra
27-Oct,Deepavali
29-Oct,Lakshmi Puja
10-Nov,Id-e-Milad
03-Dec,World Disabled Day
25-Dec,Christmas Day
_Uttar Pradesh,
DATE,HOLIDAY
26-Jan,Republic Day
04-Mar,Maha Shivratri
20-Mar,Hazrat Alis Birthday
21-Mar,Doljatra
21-Mar,Holi
06-Apr,Ugadi
14-Apr,Dr Ambedkar Jayanti
14-Apr,Ram Navami
17-Apr,Mahavir Jayanti
19-Apr,Good Friday
07-May,Parashurama Jayanti
19-May,Buddha Purnima
05-Jun,Idul Fitr
12-Aug,Idul Juha
15-Aug,Independence Day
24-Aug,Janmashtami
10-Sep,Muharram (10th Day)
14-Sep,Raksha Bandhan
02-Oct,Mahatma Gandhi Birthday
08-Oct,Dussehra
27-Oct,Deewali
02-Nov,Chhath Puja
10-Nov,Id-e-Milad
12-Nov,Guru Nanak Birthday
25-Dec,Christmas Day
_Uttarakhand,
DATE,HOLIDAY
26-Jan,Republic Day
04-Mar,Maha Shivratri
21-Mar,Holi
14-Apr,Dr Ambedkar Jayanti
14-Apr,Ram Navami
17-Apr,Mahavir Jayanti
19-Apr,Good Friday
19-May,Buddha Purnima
31-May,Jumat-ul-Wida
05-Jun,Idul Fitr
12-Aug,Idul Juha
15-Aug,Independence Day
24-Aug,Janmashtami
14-Sep,Raksha Bandhan
02-Oct,Mahatma Gandhi Birthday
08-Oct,Dussehra
27-Oct,Deewali
10-Nov,Id-e-Milad
12-Nov,Guru Nanak Birthday
25-Dec,Christmas Day
_West Bengal,
Date,Holiday
12-Jan,Birthday of Swami Vivekananda
23-Jan,Netaji Subhas Chandra Bose Jayanti
26-Jan,Republic Day
10-Feb,Vasant Panchami
21-Mar,Doljatra
14-Apr,Bengali New Year
14-Apr,Dr Ambedkar Jayanti
19-Apr,Good Friday
01-May,May Day
07-May,Birthday of Rabindra Nath Tagore
19-May,Buddha Purnima
05-Jun,Idul Fitr
12-Aug,Idul Juha
15-Aug,Independence Day
10-Sep,Muharram (10th Day)
29-Sep,Mahalaya
02-Oct,Mahatma Gandhi Birthday
05-Oct,Maha Saptami
06-Oct,Durgastami
06-Oct,Navami of Durga Puja
08-Oct,Dussehra
27-Oct,Kali Puja
29-Oct,Lakshmi Puja
12-Nov,Guru Nanak Birthday
25-Dec,Christmas Day
